Título,Categoria,Subcategoria
Academia,Academia,Gympass
Bar,Alimentação,Bar
Café,Alimentação,Café
Delivery,Alimentação,Delivery
Sorvete,Alimentação,Doces e Sorvetes
Padaria,Alimentação,Padaria
Restaurante,Alimentação,Restaurante
Adobe,Assinaturas,Adobe
Apple,Assinaturas,Apple
Celular,Assinaturas,Celular
Google,Assinaturas,Google
GPT,Assinaturas,GPT
Streaming,Assinaturas,Streaming
Youtube,Assinaturas,Youtube
Manutenção Casa,Casa,Manutenção
Móveis,Casa,Móveis e Decoração
AliExpress,Compras Online,AliExpress
Amazon,Compras Online,Amazon
Mercado Livre,Compras Online,Mercado Livre
Shopee,Compras Online,Shopee
Doação,Doação,Doação
Cinema,Lazer,Cinema
Futebol,Lazer,Futebol
Show,Lazer,Show
Loterias,Loterias e Jogos,Loterias
Mercado,Mercado,Mercado
Mercearia,Mercado,Mercearia
Mini Mercado,Mercado,Mini Mercado
Padaria Mercado,Mercado,Padaria
Quitanda,Mercado,Quitanda
Carro,Outros,Carro
Presente,Outros,Presente
Outros,Outros,Outros
Pagamento,Pagamento,Pagamento
Petshop,Pet,Petshop
Farmácia,Saúde,Farmácia
99,Transporte,99
Combustível,Transporte,Combustível
Estacionamento,Transporte,Estacionamento
Pedágio,Transporte,Pedágio
Uber,Transporte,Uber
Roupas,Vestuário,Roupas
Tênis,Vestuário,Tênis
Óculos,Vestuário,Óculos
Airbnb,Viagem,Airbnb
Hotel,Viagem,Hotel
Passagem,Viagem,Passagem
Pousada,Viagem,Pousada
